point_id,mu,sigma
0,0.00013177428910103055,9.317862046694556
1,0.00024618406398408153,12.339803311069032
2,0.0003455175201468145,14.198824338364892
3,0.0004317613267124832,15.453050097713843
4,0.0005066403598124019,16.33497069432178
5,0.0005716522001085682,16.969505532056385
6,0.0006280970844069067,17.43256692947126
7,0.0006771039103933825,17.773656817799175
8,0.0007196528145877257,18.02650995424759
9,0.000756594775073824,18.21479450176797
10,0.0007886686310613987,18.355449686400352
11,0.0008165158596701998,18.460769365041322
12,0.0008406934054724061,18.53976549466424
13,0.0008616848193840606,18.59909222024315
14,0.0008799099296833951,18.643688837927773
15,0.0008957332385763981,18.67723607305239
16,0.0009094712122409286,18.70248472420875
17,0.0009213986101502779,18.72149504166641
18,0.0009317539802626332,18.735812564490747
19,0.0009407444299802404,18.746598107814094
20,0.0009485497682974519,18.75472431810311
21,0.0009553261019806123,18.76084765505552
22,0.000961208957703386,18.765462200745503
23,0.0009663159925802263,18.7689399668369
24,0.0009707493473086716,18.771561134695165
25,0.0009745976889832902,18.773536769308848
26,0.0009779379844375732,18.775025895200912
27,0.0009808370395806092,18.776148342324714
28,0.0009833528355152566,18.77699441464024
29,0.000985535688160209,18.777632170000384
30,0.0009874292545683644,18.778112903047756
31,0.000989071406067889,18.778475275578
32,0.00099049498568877,18.778748428512237
33,0.0009917284650234265,18.778954326852002
34,0.000992796513658551,18.779109526815727
35,0.0009937204925668465,18.779226507612332
36,0.0009945188813264806,18.77931467514101
37,0.000995207647712643,18.77938111843649
38,0.0009958005670530564,18.7794311797474
39,0.0009963094977345336,18.779468884121126
40,0.0009967446183706996,18.779497263056374
41,0.0009971146313742798,18.779518598257624
42,0.000997426937005347,18.779534605096714
43,0.0009976877813765194,18.779546570535803
44,0.000997902381375223,18.779555456603187
45,0.0009980750290014306,18.779561977742645
46,0.0009982091772076668,18.779566658256044
47,0.000998307508958056,18.77956987445792
48,0.000998371990887606,18.77957188493162
49,0.0009984039126349075,18.779572851319593
50,0.0009984039126349079,18.779572851319596
51,0.000998371990887606,18.779571884931627